player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karl Toko Ekambi,21,CMR,FW,27,86,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,0,0,9,17,52.9,0,12,2,2,0
Jeff Reine-Adélaïde,17,FRA,FW,22,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,2,1,1,0
Memphis,11,NED,FW,26,74,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.0,3,0,13,20,65.0,2,11,0,1,1
Moussa Dembélé,9,FRA,FW,24,16,2,0,0,0,2,2,0,0,6,0,0,0,0.7,0.7,0.0,0,0,1,2,50.0,0,2,0,0,0
Houssem Aouar,8,FRA,CM,22,90,0,1,0,0,1,1,0,0,38,2,1,4,0.0,0.0,0.2,1,1,13,22,59.1,2,26,2,6,4
Bruno Guimarães,39,BRA,CM,22,69,0,0,0,0,0,0,0,0,24,3,0,1,0.0,0.0,0.0,0,0,13,17,76.5,0,17,0,1,0
Thiago Mendes,12,BRA,CM,28,21,0,0,0,0,0,0,0,0,3,1,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
Maxence Caqueret,25,FRA,CM,20,90,0,0,0,0,0,0,0,0,35,3,2,2,0.0,0.0,0.0,4,2,20,24,83.3,3,14,0,0,0
Maxwel Cornet,27,CIV,WB,23,90,1,0,0,0,1,1,0,0,38,1,2,3,0.2,0.2,0.0,0,0,17,27,63.0,2,17,0,1,0
Leo Dubois,14,FRA,WB,25,73,0,0,0,0,0,0,1,0,33,3,0,0,0.0,0.0,0.0,0,0,16,24,66.7,3,11,0,0,0
Kenny Tete,23,NED,WB,24,17,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.0,0,0,2,7,28.6,0,1,0,0,0
Fernando Marçal,20,BRA,CB,31,90,0,0,0,0,2,2,0,0,45,1,2,2,0.1,0.1,0.0,1,1,22,26,84.6,4,22,2,1,1
Marcelo,6,BRA,CB,33,90,0,0,0,0,0,0,1,0,43,0,3,1,0.0,0.0,0.0,1,1,26,33,78.8,0,20,0,0,0
Jason Denayer,5,BEL,CB,25,90,0,0,0,0,0,0,0,0,27,2,1,3,0.0,0.0,0.0,0,0,12,18,66.7,0,6,0,0,0
Anthony Lopes,1,POR,GK,29,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,21,40,52.5,0,18,0,0,0
