player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gabriel Jesus,9,BRA,FW,23,90,0,0,0,0,5,1,0,0,31,1,3,1,0.7,0.7,0.6,8,0,15,17,88.2,2,24,4,2,2
Raheem Sterling,7,ENG,"AM,LW",25,90,0,1,0,0,3,0,0,0,39,0,0,0,1.1,1.1,0.7,7,2,20,30,66.7,1,30,5,3,3
Kevin De Bruyne,17,BEL,AM,29,90,1,0,0,0,6,4,0,0,73,2,0,1,0.4,0.4,0.1,5,0,27,58,46.6,4,34,2,0,0
İlkay Gündoğan,8,GER,"CM,DM",29,90,0,0,0,0,1,1,0,0,66,1,0,1,0.1,0.1,0.0,2,0,57,59,96.6,4,37,1,1,1
Rodri,16,ESP,"CM,DM",24,83,0,0,0,0,2,1,1,0,72,2,0,0,0.1,0.1,0.0,1,0,60,67,89.6,2,43,1,1,1
David Silva,21,ESP,DM,34,7,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,3,0,8,8,100.0,3,7,0,1,1
João Cancelo,27,POR,"WB,LB",26,90,0,0,0,0,0,0,0,0,96,2,3,1,0.0,0.0,0.0,1,0,69,83,83.1,11,64,4,5,2
Kyle Walker,2,ENG,"WB,RB",30,90,0,0,0,0,1,0,0,0,81,2,1,0,0.1,0.1,0.0,0,0,65,76,85.5,6,49,3,2,2
Aymeric Laporte,14,ESP,CB,26,90,0,0,0,0,0,0,0,0,91,1,2,1,0.0,0.0,0.0,1,0,70,84,83.3,6,64,3,1,1
Eric García,50,ESP,CB,19,90,0,0,0,0,0,0,0,0,108,2,1,0,0.0,0.0,0.0,2,0,103,104,99.0,6,87,0,0,0
Fernandinho,25,BRA,CB,35,55,0,0,0,0,0,0,1,0,64,3,2,0,0.0,0.0,0.0,0,0,49,59,83.1,7,49,0,0,0
Riyad Mahrez,26,ALG,RW,29,35,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,17,20,85.0,4,21,1,2,1
Ederson,31,BRA,GK,26,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,23,26,88.5,0,21,0,0,0
