player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Breel Embolo,36,SUI,FW,24,64,0,0,0,0,2,1,0,0,26,1,0,0,0.1,0.1,0.0,1,0,14,17,82.4,1,11,0,2,1
Hannes Wolf,11,AUT,"LW,AM",21,26,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,2,9,0,3,2
Marcus Thuram,10,FRA,LW,23,64,0,0,0,0,1,1,0,0,22,0,0,2,0.0,0.0,0.1,1,0,11,11,100.0,2,7,1,3,1
Alassane Pléa,14,FRA,FW,28,26,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,2,3,66.7,1,3,0,0,0
Jonas Hofmann,23,GER,RW,28,90,0,0,0,0,0,0,0,0,32,1,1,1,0.0,0.0,0.0,2,0,22,28,78.6,2,16,1,1,1
Lars Stindl,13,GER,AM,32,79,0,0,0,0,1,1,0,0,45,2,0,2,0.0,0.0,0.1,4,0,27,36,75.0,3,21,1,0,0
Ibrahima Traoré,16,GUI,LW,32,11,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.0,0,0,6,7,85.7,0,3,0,0,0
Denis Zakaria,8,SUI,DM,24,90,0,0,0,0,0,0,0,0,41,2,1,1,0.0,0.0,0.0,2,0,32,34,94.1,4,25,0,0,0
Florian Neuhaus,32,GER,DM,24,90,0,0,0,0,0,0,0,0,52,1,2,1,0.0,0.0,0.0,1,0,42,46,91.3,3,30,0,2,2
Ramy Bensebaini,25,ALG,LB,25,87,0,0,0,0,0,0,0,0,49,3,0,0,0.0,0.0,0.0,0,0,31,39,79.5,0,22,2,2,2
Oscar Wendt,17,SWE,LB,35,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
Nico Elvedi,30,SUI,CB,24,87,0,0,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.0,0,0,49,50,98.0,0,29,0,0,0
Tony Jantschke,24,GER,CB,30,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
Matthias Ginter,28,GER,CB,27,90,0,0,0,0,0,0,0,0,63,1,1,0,0.0,0.0,0.0,0,0,47,57,82.5,3,30,0,0,0
Stefan Lainer,18,AUT,RB,28,90,0,0,0,0,0,0,1,0,46,3,1,2,0.0,0.0,0.0,0,0,21,34,61.8,1,15,2,1,0
Yann Sommer,1,SUI,GK,32,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,37,49,75.5,0,31,0,0,0
