player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Bernardo Silva,20,POR,FW,26,81,0,0,0,0,1,0,0,0,45,0,0,2,0.1,0.1,0.0,1,0,35,40,87.5,7,37,6,2,2
Raheem Sterling,7,ENG,"LM,FW",26,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0
Kevin De Bruyne,17,BEL,FW,29,81,0,0,0,0,3,0,1,0,52,1,1,1,0.1,0.1,0.1,3,2,27,43,62.8,2,32,4,2,0
Gabriel Jesus,9,BRA,FW,24,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,4,0,1,0
Phil Foden,47,ENG,LM,20,84,0,1,0,0,3,2,0,0,49,2,0,2,0.1,0.1,0.8,2,1,33,37,89.2,1,35,5,4,3
Sergio Agüero,10,ARG,FW,32,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
İlkay Gündoğan,8,GER,CM,30,90,0,0,0,0,0,0,0,0,67,2,0,1,0.0,0.0,0.1,3,0,59,63,93.7,3,38,1,3,3
Fernandinho,25,BRA,CM,36,90,0,0,0,0,0,0,0,0,52,5,3,4,0.0,0.0,0.0,2,0,33,38,86.8,5,27,0,0,0
Riyad Mahrez,26,ALG,RM,30,90,2,0,0,0,4,3,0,0,70,1,2,3,1.0,1.0,0.1,5,0,42,53,79.2,2,49,8,7,5
Oleksandr Zinchenko,11,UKR,LB,24,90,0,0,0,0,0,0,1,0,81,4,1,1,0.0,0.0,0.1,2,0,71,74,95.9,3,56,3,0,0
Rúben Dias,3,POR,CB,23,90,0,0,0,0,1,0,0,0,41,1,0,3,0.1,0.1,0.0,0,0,28,31,90.3,0,18,0,0,0
John Stones,5,ENG,CB,26,90,0,0,0,0,0,0,0,0,40,0,1,2,0.0,0.0,0.0,0,0,27,33,81.8,1,21,0,0,0
Kyle Walker,2,ENG,RB,30,90,0,0,0,0,0,0,0,0,67,6,3,1,0.0,0.0,0.1,1,0,44,51,86.3,3,31,2,2,2
Ederson,31,BRA,GK,27,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,20,23,87.0,0,15,0,0,0
