player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Mauro Icardi,9,ARG,FW,28,61,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,5,0,1,0
Moise Kean,18,ITA,FW,21,29,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,3,0,0,0
Neymar,10,BRA,LW,29,90,0,0,0,0,5,0,0,0,79,0,0,0,0.3,0.3,0.2,8,0,53,61,86.9,10,61,7,7,4
Ángel Di María,11,ARG,RW,33,68,0,0,0,0,3,0,0,1,50,0,1,2,0.1,0.1,0.3,4,0,21,37,56.8,3,33,9,8,2
Marco Verratti,6,ITA,LM,28,90,0,0,0,0,0,0,1,0,99,4,0,1,0.0,0.0,0.1,5,0,84,91,92.3,11,64,2,5,5
Leandro Paredes,8,ARG,CM,26,74,0,0,0,0,1,0,0,0,66,1,1,0,0.0,0.0,0.0,0,0,60,63,95.2,3,44,1,0,0
Danilo Pereira,15,POR,CM,29,16,0,0,0,0,0,0,1,0,5,0,1,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
Ander Herrera,21,ESP,RM,31,61,0,0,0,0,2,0,1,0,46,0,1,0,0.1,0.1,0.0,0,0,37,40,92.5,5,31,2,0,0
Julian Draxler,23,GER,RM,27,29,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.0,1,0,17,18,94.4,3,12,1,0,0
Abdou Diallo,22,SEN,LB,25,81,0,0,0,0,0,0,0,0,61,1,0,0,0.0,0.0,0.0,1,0,48,57,84.2,4,34,0,1,0
Mitchel Bakker,25,NED,LB,20,9,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0
Presnel Kimpembe,3,FRA,CB,25,90,0,0,0,0,0,0,1,0,91,4,1,4,0.0,0.0,0.0,0,0,77,80,96.3,0,53,0,0,0
Marquinhos,5,BRA,CB,26,90,0,0,0,0,2,0,0,0,88,3,0,1,0.3,0.3,0.0,2,0,72,79,91.1,2,59,0,2,2
Alessandro Florenzi,24,ITA,RB,30,74,0,0,0,0,0,0,0,0,47,1,2,2,0.0,0.0,0.0,1,0,29,41,70.7,2,28,0,1,1
Colin Dagba,31,FRA,RB,22,16,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,6,0,0,0
Keylor Navas,1,CRC,GK,34,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,29,31,93.5,0,22,0,0,0
