player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Erling Haaland,9,NOR,FW,22,62,5,0,1,1,7,7,0,0,27,0,0,1,2.8,2.0,0.0,2,0,11,16,68.8,2,11,1,2,2
Julián Álvarez,19,ARG,FW,23,28,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,1,5,0,1,1
Jack Grealish,10,ENG,LW,27,54,0,1,0,0,1,0,0,0,37,0,0,1,0.1,0.1,0.5,4,1,28,31,90.3,2,27,3,5,3
Phil Foden,47,ENG,LW,22,36,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,11,2,2,2
Bernardo Silva,20,POR,"RW,CM",28,90,0,0,0,0,0,0,0,0,54,0,2,0,0.0,0.0,0.1,4,1,39,45,86.7,5,31,1,1,1
İlkay Gündoğan,8,GER,CM,32,54,1,0,0,0,4,2,0,0,35,0,0,0,0.5,0.5,0.0,1,1,25,27,92.6,5,23,2,1,1
Riyad Mahrez,26,ALG,RW,32,36,0,1,0,0,1,1,0,0,31,1,0,0,0.1,0.1,0.2,3,1,22,25,88.0,1,20,3,7,5
Kevin De Bruyne,17,BEL,CM,31,90,1,0,0,0,2,1,1,0,71,1,0,0,0.1,0.1,0.6,9,1,43,62,69.4,2,34,3,4,2
Rodri,16,ESP,DM,26,63,0,0,0,0,1,0,0,0,74,1,0,2,0.0,0.0,0.0,3,1,62,68,91.2,7,55,1,1,1
Kalvin Phillips,4,ENG,DM,27,27,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,30,31,96.8,0,21,0,0,0
John Stones,5,ENG,DM,28,63,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.1,2,0,34,34,100.0,7,19,0,1,1
Sergio Gómez,21,ESP,DM,22,27,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,29,29,100.0,1,15,1,4,3
Nathan Aké,6,NED,LB,28,90,0,0,0,0,0,0,0,0,88,2,1,0,0.0,0.0,0.3,3,0,74,83,89.2,5,56,1,2,2
Rúben Dias,3,POR,CB,25,90,0,0,0,0,2,0,0,0,88,1,0,0,0.1,0.1,0.0,2,1,77,83,92.8,3,60,0,0,0
Manuel Akanji,25,SUI,RB,27,90,0,0,0,0,3,3,1,0,108,1,2,1,0.6,0.6,0.0,4,2,89,102,87.3,7,65,1,2,1
Ederson,31,BRA,GK,29,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,33,36,91.7,0,26,0,0,0
