player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gabriel Jesus,9,BRA,FW,25,82,1,0,0,0,1,1,0,0,33,0,0,1,0.3,0.3,0.4,3,0,24,27,88.9,0,29,0,2,2
Raheem Sterling,7,ENG,FW,27,8,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,0,2,0,0,0
Phil Foden,47,ENG,LW,21,90,1,0,0,0,4,1,0,0,67,0,0,2,1.0,1.0,0.0,4,2,44,55,80.0,2,55,4,3,1
Riyad Mahrez,26,ALG,RW,31,90,0,1,0,0,3,0,0,0,58,3,0,2,0.8,0.8,0.2,6,2,37,47,78.7,8,47,3,2,2
Kevin De Bruyne,17,BEL,LM,30,90,1,1,0,0,3,1,0,0,69,0,0,3,0.2,0.2,0.6,5,0,47,55,85.5,11,48,5,3,2
Rodri,16,ESP,CM,25,90,0,0,0,0,1,0,0,0,103,3,1,0,0.0,0.0,0.0,2,1,85,92,92.4,3,81,1,3,3
Bernardo Silva,20,POR,RM,27,90,1,0,0,0,1,1,0,0,68,5,0,1,0.0,0.0,0.2,3,0,51,57,89.5,8,54,6,2,1
Oleksandr Zinchenko,11,UKR,LB,25,90,0,1,0,0,1,0,0,0,106,2,3,0,0.0,0.0,0.3,1,0,78,97,80.4,12,59,5,0,0
Aymeric Laporte,14,ESP,CB,27,90,0,0,0,0,1,1,0,0,85,2,1,0,0.2,0.2,0.0,0,0,72,78,92.3,6,66,2,1,1
Rúben Dias,3,POR,CB,24,90,0,0,0,0,0,0,0,0,59,0,2,2,0.0,0.0,0.3,2,1,47,52,90.4,2,44,0,0,0
John Stones,5,ENG,RB,27,35,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,1,15,0,1,0
Fernandinho,25,BRA,RB,36,55,0,1,0,0,0,0,1,0,39,1,2,1,0.0,0.0,0.4,2,2,29,35,82.9,6,27,1,0,0
Ederson,31,BRA,GK,28,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,28,36,77.8,0,27,0,0,0
