player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,2,0,1,1,2,1,0,0,39,0,0,1,0.9,0.1,0.3,6,1,24,30,80.0,3,19,1,6,2
Vinicius Júnior,20,BRA,LW,21,87,1,0,0,0,3,1,0,0,29,0,0,0,0.4,0.4,0.1,1,0,12,15,80.0,0,18,3,7,3
Marco Asensio,11,ESP,LW,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
Rodrygo,21,BRA,RW,21,69,0,0,0,0,1,1,0,0,29,1,0,0,0.1,0.1,0.0,2,0,15,18,83.3,1,16,0,2,0
Eduardo Camavinga,25,FRA,RM,19,21,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,1,7,8,87.5,1,4,0,0,0
Luka Modrić,10,CRO,LM,36,78,0,0,0,0,1,0,0,0,44,0,3,0,0.0,0.0,0.0,1,0,32,39,82.1,3,19,1,2,2
Dani Ceballos,19,ESP,LM,25,12,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,6,7,85.7,0,7,0,1,1
Toni Kroos,8,GER,CM,32,90,0,0,0,0,0,0,0,0,74,3,0,1,0.0,0.0,0.1,4,1,60,66,90.9,0,39,0,1,1
Federico Valverde,15,URU,"RM,RW",23,90,0,0,0,0,0,0,0,0,37,1,2,3,0.0,0.0,0.0,0,0,23,29,79.3,3,17,1,1,1
Ferland Mendy,23,FRA,LB,26,90,0,2,0,0,0,0,0,0,51,1,1,0,0.0,0.0,0.3,2,2,35,42,83.3,2,32,1,1,0
David Alaba,4,AUT,CB,29,45,0,0,0,0,1,0,0,0,26,0,1,1,0.1,0.1,0.0,0,0,16,18,88.9,0,13,0,0,0
Nacho,6,ESP,CB,32,45,0,0,0,0,0,0,1,0,23,1,0,0,0.0,0.0,0.0,0,0,21,21,100.0,0,17,0,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,2,1,0,0,69,0,3,2,0.1,0.1,0.0,1,0,41,56,73.2,2,41,1,2,2
Dani Carvajal,2,ESP,RB,30,90,0,0,0,0,0,0,0,0,61,1,2,3,0.0,0.0,0.1,2,0,37,49,75.5,2,25,1,1,1
Thibaut Courtois,1,BEL,GK,29,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,26,43,60.5,0,30,0,0,0
