player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Phil Foden,47,ENG,"FW,LW",20,66,0,0,0,0,2,0,0,0,32,0,1,0,0.1,0.1,0.0,3,0,19,26,73.1,1,24,2,1,0
Bernardo Silva,20,POR,LW,25,24,0,0,0,0,1,0,0,0,24,2,0,1,0.1,0.1,0.0,4,0,20,20,100.0,1,18,0,1,1
Gabriel Jesus,9,BRA,"FW,LW",23,90,1,1,0,0,4,2,0,0,53,1,1,0,0.4,0.4,0.5,2,2,32,42,76.2,0,28,1,0,0
Raheem Sterling,7,ENG,RW,25,80,1,0,0,0,4,3,0,0,32,1,1,1,1.1,1.1,0.1,1,0,16,19,84.2,2,22,1,2,2
David Silva,21,ESP,RW,34,10,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,6,7,85.7,0,5,0,1,1
İlkay Gündoğan,8,GER,LM,29,90,0,0,0,0,1,0,0,0,70,2,1,2,0.1,0.1,0.6,4,0,60,63,95.2,13,34,4,2,2
Rodri,16,ESP,CM,24,88,0,0,0,0,1,0,0,0,82,2,0,0,0.0,0.0,0.0,5,0,73,78,93.6,5,42,0,1,1
Nicolás Otamendi,30,ARG,CB,32,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0
Kevin De Bruyne,17,BEL,RM,29,90,0,0,0,0,3,0,0,0,66,2,0,0,0.1,0.1,0.4,11,0,46,60,76.7,7,38,4,0,0
João Cancelo,27,POR,LB,26,90,0,0,0,0,1,1,0,0,79,3,2,0,0.0,0.0,0.0,0,0,60,70,85.7,3,48,7,6,3
Aymeric Laporte,14,ESP,CB,26,90,0,0,0,0,0,0,0,0,69,1,2,1,0.0,0.0,0.0,0,0,60,64,93.8,2,48,0,0,0
Fernandinho,25,BRA,"CB,CM",35,90,0,0,0,0,0,0,0,0,59,0,1,1,0.0,0.0,0.0,1,0,53,58,91.4,1,43,0,0,0
Kyle Walker,2,ENG,RB,30,90,0,0,0,0,2,1,0,0,94,2,1,0,0.1,0.1,0.0,3,0,74,87,85.1,6,51,1,2,2
Ederson,31,BRA,GK,26,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,28,43,65.1,0,27,0,0,0
