player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,32,90,1,0,0,0,5,3,0,0,35,0,0,1,0.6,0.6,0.1,3,0,21,25,84.0,1,15,2,2,1
Eden Hazard,7,BEL,LW,29,82,0,0,0,0,1,1,0,0,35,0,3,0,0.0,0.0,0.1,2,0,26,27,96.3,2,25,3,2,0
Luka Jović,18,SRB,LW,22,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,2,0,0,0
Rodrygo,27,BRA,RW,19,60,0,1,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.4,4,2,8,12,66.7,0,10,2,3,1
Marco Asensio,20,ESP,RW,24,30,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,10,15,66.7,0,11,1,1,0
Toni Kroos,8,GER,LM,30,90,0,0,0,0,1,0,0,0,74,1,2,0,0.0,0.0,0.1,6,0,65,68,95.6,10,52,1,2,1
Casemiro,14,BRA,CM,28,90,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,0,0,28,38,73.7,2,26,0,1,1
Luka Modrić,10,CRO,RM,34,82,0,0,0,0,2,0,1,0,64,1,2,0,0.1,0.1,0.0,0,0,46,55,83.6,3,46,0,1,0
Federico Valverde,15,URU,RM,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Ferland Mendy,23,FRA,LB,25,90,0,0,0,0,0,0,0,0,52,1,2,0,0.0,0.0,0.0,0,0,39,47,83.0,0,25,0,1,0
Éder Militão,3,BRA,CB,22,90,0,0,0,0,0,0,0,0,69,4,2,6,0.0,0.0,0.0,0,0,45,51,88.2,1,31,0,2,2
Raphaël Varane,5,FRA,CB,27,90,0,0,0,0,0,0,0,0,82,0,1,1,0.0,0.0,0.0,0,0,62,74,83.8,4,49,0,0,0
Dani Carvajal,2,ESP,RB,28,82,0,0,0,0,0,0,0,0,70,2,1,1,0.0,0.0,0.0,2,0,46,57,80.7,2,34,4,0,0
Lucas Vázquez,17,ESP,RB,29,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
Thibaut Courtois,13,BEL,GK,28,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,42,53,79.2,0,35,0,0,0
