player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Phil Foden,47,ENG,FW,21,45,0,0,0,0,1,1,0,0,33,1,1,1,0.1,0.1,0.6,3,0,23,29,79.3,3,27,3,1,1
James Mcatee,87,ENG,RM,19,45,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.2,3,0,21,27,77.8,4,24,0,5,4
Raheem Sterling,7,ENG,"FW,LW",27,90,0,0,0,0,2,1,0,0,39,0,0,0,0.3,0.3,0.3,4,0,27,31,87.1,2,32,3,4,1
Gabriel Jesus,9,BRA,"LW,RW",24,90,0,0,0,0,1,1,1,0,60,1,1,1,0.0,0.0,0.0,1,0,43,49,87.8,4,42,8,5,4
İlkay Gündoğan,8,GER,LM,31,90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.2,4,0,54,59,91.5,7,52,2,3,2
Fernandinho,25,BRA,CM,36,90,0,0,0,0,1,0,0,0,107,3,3,0,0.1,0.1,0.0,3,0,88,99,88.9,15,86,0,1,1
Bernardo Silva,20,POR,RM,27,45,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,26,28,92.9,6,30,4,2,1
Riyad Mahrez,26,ALG,RW,31,45,0,0,0,0,4,1,0,0,36,0,0,0,0.4,0.4,0.0,3,0,24,30,80.0,1,30,2,2,1
Oleksandr Zinchenko,11,UKR,LB,25,90,0,0,0,0,2,0,0,0,90,3,1,0,0.1,0.1,0.0,1,0,76,84,90.5,8,67,7,1,1
Aymeric Laporte,14,ESP,CB,27,83,0,0,0,0,1,0,0,0,96,1,4,0,0.5,0.5,0.0,0,0,84,87,96.6,10,75,1,0,0
Luke Mbete-Tatu,79,ENG,CB,18,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,4,1,0,0
John Stones,5,ENG,CB,27,90,0,0,0,0,2,0,0,0,109,0,0,1,0.1,0.1,0.0,0,0,97,101,96.0,10,87,4,0,0
CJ Egan-Riley,56,ENG,RB,19,90,0,0,0,0,0,0,0,0,72,0,0,0,0.0,0.0,0.0,0,0,63,67,94.0,7,54,2,3,3
Ederson,31,BRA,GK,28,72,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,21,21,100.0,0,20,0,0,0
Scott Carson,33,ENG,GK,36,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,0,0,0,0
