player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Sergio Agüero,10,ARG,FW,30,90,1,1,0,0,4,2,0,0,45,2,0,0,0.6,0.6,0.1,5,2,20,25,80.0,3,30,3,8,5
Raheem Sterling,7,ENG,LW,24,90,2,0,0,0,3,3,0,0,46,1,1,0,0.5,0.5,0.1,2,0,29,34,85.3,4,32,1,1,0
Bernardo Silva,20,POR,RW,24,90,1,0,0,0,4,1,0,0,65,5,2,0,0.6,0.6,0.0,6,1,41,51,80.4,8,41,5,4,3
David Silva,21,ESP,LM,33,62,0,0,0,0,2,0,0,0,33,1,0,0,0.1,0.1,0.1,2,1,20,28,71.4,3,21,0,0,0
Fernandinho,25,BRA,CM,33,28,0,0,0,0,0,0,0,0,27,2,0,1,0.0,0.0,0.0,2,0,20,23,87.0,9,17,2,0,0
İlkay Gündoğan,8,GER,"CM,LM",28,90,0,0,0,0,3,0,0,0,76,1,2,1,0.5,0.5,0.1,4,0,61,69,88.4,13,47,2,0,0
Kevin De Bruyne,17,BEL,RM,27,90,0,3,0,0,3,2,0,0,57,2,0,2,0.2,0.2,0.9,8,4,34,46,73.9,4,31,4,3,3
Benjamin Mendy,22,FRA,LB,24,83,0,0,0,0,0,0,0,0,77,2,0,0,0.0,0.0,0.0,1,0,63,71,88.7,8,53,3,0,0
Leroy Sané,19,GER,LB,23,7,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.5,2,0,7,8,87.5,0,7,1,3,1
Aymeric Laporte,14,ESP,CB,24,90,0,0,0,0,0,0,0,0,98,2,2,0,0.0,0.0,0.0,0,0,81,90,90.0,16,69,2,0,0
Vincent Kompany,4,BEL,CB,33,90,0,0,0,0,0,0,0,0,96,2,1,1,0.0,0.0,0.0,2,0,83,88,94.3,3,56,0,0,0
Kyle Walker,2,ENG,RB,28,90,0,0,0,0,1,0,0,0,80,1,0,1,0.0,0.0,0.1,3,0,66,74,89.2,14,56,6,1,1
Ederson,31,BRA,GK,25,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,26,32,81.3,0,19,0,0,0
