player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Erling Haaland,9,NOR,FW,22,90,0,0,0,0,1,0,0,0,21,0,0,0,0.3,0.3,0.0,1,0,11,15,73.3,1,8,1,2,1
Jack Grealish,10,ENG,LW,27,90,0,0,0,0,1,0,0,0,51,2,1,0,0.1,0.1,0.3,4,1,37,42,88.1,6,44,4,6,2
Kyle Walker,2,ENG,RW,32,90,0,0,0,0,0,0,0,0,84,1,2,0,0.0,0.0,0.0,1,0,55,75,73.3,3,39,5,2,2
İlkay Gündoğan,8,GER,CM,32,90,0,1,0,0,1,1,0,0,58,0,0,0,0.1,0.1,0.4,4,0,46,56,82.1,3,34,1,0,0
Riyad Mahrez,26,ALG,CM,32,90,1,0,0,0,3,1,0,0,55,1,1,1,0.5,0.5,0.2,6,0,39,45,86.7,0,36,6,3,2
Rodri,16,ESP,DM,26,90,0,0,0,0,4,0,0,0,93,0,0,0,0.2,0.2,0.0,0,0,76,85,89.4,4,68,3,0,0
Bernardo Silva,20,POR,DM,28,90,0,0,0,0,1,0,0,0,79,2,0,0,0.0,0.0,0.1,4,0,69,73,94.5,6,49,4,6,5
Nathan Aké,6,NED,LB,28,90,0,0,0,0,0,0,0,0,96,2,1,0,0.0,0.0,0.0,1,0,86,94,91.5,9,66,1,0,0
Rúben Dias,3,POR,CB,25,90,0,0,0,0,1,1,0,0,115,4,0,1,0.1,0.1,0.0,0,0,105,107,98.1,4,91,0,0,0
Manuel Akanji,25,SUI,RB,27,90,0,0,0,0,0,0,0,0,116,1,0,3,0.0,0.0,0.0,1,0,105,111,94.6,6,82,0,0,0
Ederson,31,BRA,GK,29,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,23,0,0,0
