player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,32,90,0,0,0,0,1,1,0,0,27,1,0,1,0.3,0.3,0.0,1,0,21,24,87.5,1,16,2,0,0
Vinicius Júnior,25,BRA,LW,19,74,0,1,0,0,0,0,0,0,44,3,1,0,0.0,0.0,0.5,2,1,30,37,81.1,2,34,3,4,3
Gareth Bale,11,WAL,"LW,LM",30,16,0,0,0,0,2,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,0,7,0,0,0
Isco,22,ESP,RW,27,83,1,0,0,0,2,2,0,0,55,1,0,0,0.5,0.5,0.1,1,0,40,47,85.1,4,50,1,3,2
Luka Jović,18,SRB,"FW,RW",22,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Federico Valverde,15,URU,"LM,RM,CM",21,90,0,0,0,0,0,0,1,0,48,3,1,0,0.0,0.0,0.0,1,0,35,41,85.4,4,30,0,1,1
Casemiro,14,BRA,"CM,CB",28,90,0,0,0,0,1,0,0,0,72,2,2,1,0.0,0.0,0.0,3,0,47,62,75.8,6,45,0,2,2
Luka Modrić,10,CRO,"RM,LM",34,83,0,0,0,0,0,0,1,0,57,0,3,0,0.0,0.0,0.0,2,0,42,50,84.0,4,47,4,2,0
Lucas Vázquez,17,ESP,"RM,LM",28,7,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.1,1,0,5,5,100.0,1,5,0,0,0
Ferland Mendy,23,FRA,LB,24,90,0,0,0,0,1,0,0,0,73,2,1,0,0.1,0.1,0.4,5,0,58,62,93.5,6,53,5,4,3
Sergio Ramos,4,ESP,CB,33,85,0,0,0,0,1,0,0,1,84,0,3,0,0.1,0.1,0.0,0,0,68,77,88.3,1,58,0,0,0
Raphaël Varane,5,FRA,CB,26,90,0,0,0,0,1,0,0,0,80,2,1,0,0.1,0.1,0.0,1,0,64,73,87.7,0,59,0,2,2
Dani Carvajal,2,ESP,RB,28,90,0,0,0,0,0,0,0,0,73,2,0,5,0.0,0.0,0.0,0,0,46,59,78.0,4,36,0,5,3
Thibaut Courtois,13,BEL,GK,27,90,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,0,0,46,51,90.2,0,40,0,0,0
