player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Sergio Agüero,10,ARG,FW,30,77,1,0,0,0,6,2,0,0,42,1,1,1,0.7,0.7,0.0,4,0,22,27,81.5,3,28,6,3,1
Leroy Sané,19,GER,LW,23,13,1,0,0,0,1,1,0,0,12,1,0,1,0.1,0.1,0.0,0,0,6,6,100.0,0,7,0,2,1
Raheem Sterling,7,ENG,"LW,FW",24,90,1,0,0,0,4,1,0,0,50,2,0,1,0.4,0.4,0.1,5,1,28,34,82.4,1,40,7,6,4
Bernardo Silva,20,POR,RW,24,90,0,0,0,0,2,0,0,0,54,1,1,0,0.1,0.1,0.0,5,1,38,46,82.6,4,38,4,6,6
David Silva,21,ESP,LM,33,69,0,1,0,0,0,0,0,0,62,1,2,1,0.0,0.0,0.5,5,2,49,57,86.0,6,44,0,0,0
Vincent Kompany,4,BEL,CB,32,21,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,16,16,100.0,0,12,0,0,0
İlkay Gündoğan,8,GER,"CM,DM",28,90,0,0,0,0,3,0,0,0,87,2,1,1,0.1,0.1,0.0,1,0,70,77,90.9,7,58,1,0,0
Kevin De Bruyne,17,BEL,RM,27,86,0,0,0,0,4,2,0,0,89,1,2,3,0.2,0.2,0.2,7,0,59,77,76.6,3,58,5,1,1
Oleksandr Zinchenko,35,UKR,LB,22,4,0,0,0,0,0,0,0,0,7,1,1,0,0.0,0.0,0.0,1,1,4,5,80.0,0,4,1,0,0
Aymeric Laporte,14,ESP,"LB,CB",24,90,0,0,0,0,1,0,0,0,80,2,3,0,0.0,0.0,0.0,0,0,60,69,87.0,7,52,0,0,0
Nicolás Otamendi,30,ARG,CB,31,67,0,0,0,0,0,0,2,1,81,1,0,0,0.0,0.0,0.0,2,0,70,79,88.6,0,63,0,0,0
Fernandinho,25,BRA,"CB,DM",33,90,0,0,0,0,0,0,1,0,92,0,1,1,0.0,0.0,0.1,3,0,80,85,94.1,12,79,1,1,1
Kyle Walker,2,ENG,RB,28,90,0,0,0,0,0,0,0,0,73,1,1,1,0.0,0.0,0.0,3,0,61,68,89.7,2,48,2,3,2
Ederson,31,BRA,GK,25,90,0,1,0,0,0,0,1,0,27,0,0,0,0.0,0.0,0.3,1,1,22,24,91.7,0,15,0,0,0
