player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Sergio Agüero,10,ARG,FW,30,70,0,0,0,1,2,0,1,0,18,0,0,0,0.9,0.1,0.1,1,0,13,14,92.9,1,14,2,0,0
Gabriel Jesus,33,BRA,FW,22,20,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,5,100.0,0,6,2,1,0
Raheem Sterling,7,ENG,"LW,RW",24,90,0,0,0,0,2,1,0,0,47,1,2,1,0.1,0.1,0.1,3,0,27,30,90.0,3,39,3,7,5
Riyad Mahrez,26,ALG,RW,28,88,0,0,0,0,1,0,1,0,54,0,0,1,0.0,0.0,0.2,2,0,28,40,70.0,2,32,3,2,1
Leroy Sané,19,GER,LW,23,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,3,0,1,0
David Silva,21,ESP,AM,33,88,0,0,0,0,1,0,0,0,49,4,0,0,0.1,0.1,0.0,5,0,33,43,76.7,5,35,1,0,0
Kevin De Bruyne,17,BEL,AM,27,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,2,3,1,0,0
İlkay Gündoğan,8,GER,DM,28,90,0,0,0,0,0,0,0,0,83,1,0,1,0.0,0.0,0.1,2,0,71,78,91.0,8,55,4,2,2
Fernandinho,25,BRA,DM,33,90,0,0,0,0,1,0,0,0,59,0,3,2,0.1,0.1,0.0,1,0,34,47,72.3,6,34,2,0,0
Fabian Delph,18,ENG,LB,29,90,0,0,0,0,1,0,0,0,78,1,1,1,0.0,0.0,0.0,0,0,59,71,83.1,2,55,0,0,0
Aymeric Laporte,14,ESP,CB,24,90,0,0,0,0,0,0,1,0,88,1,0,1,0.0,0.0,0.0,0,0,69,75,92.0,3,68,2,0,0
Nicolás Otamendi,30,ARG,CB,31,90,0,0,0,0,0,0,0,0,95,3,3,1,0.0,0.0,0.0,0,0,73,80,91.3,0,71,0,0,0
Kyle Walker,2,ENG,RB,28,90,0,0,0,0,0,0,0,0,79,1,1,2,0.0,0.0,0.0,0,0,50,64,78.1,3,44,2,1,1
Ederson,31,BRA,GK,25,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,33,38,86.8,0,29,0,0,0
