player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Harry Kane,10,ENG,FW,25,57,0,0,0,0,2,1,0,0,21,2,0,1,0.3,0.3,0.0,4,0,10,14,71.4,5,14,0,0,0
Lucas Moura,27,BRA,"FW,LW",26,33,0,0,0,0,0,0,0,0,17,1,1,2,0.0,0.0,0.0,0,0,7,11,63.6,3,9,0,2,2
Son Heung-min,7,KOR,"RW,LW",26,90,1,0,0,0,4,2,0,0,31,2,1,1,0.2,0.2,0.0,3,1,17,20,85.0,1,24,2,3,1
Christian Eriksen,23,DEN,"RW,LW,AM",27,90,0,0,0,0,2,0,0,0,52,1,0,0,0.1,0.1,0.4,6,1,34,45,75.6,6,29,0,2,0
Dele Alli,20,ENG,"AM,FW",22,86,0,0,0,0,2,0,0,0,32,4,0,2,0.1,0.1,0.0,2,0,16,18,88.9,4,17,2,3,1
Fernando Llorente,18,ESP,FW,34,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,3,0,0,0
Harry Winks,8,ENG,DM,23,80,0,0,0,0,1,0,0,0,51,1,1,1,0.0,0.0,0.0,1,0,33,38,86.8,2,29,0,1,1
Victor Wanyama,12,KEN,DM,27,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,6,0,0,0
Moussa Sissoko,17,FRA,DM,29,90,0,0,0,0,0,0,0,0,38,3,2,0,0.0,0.0,0.1,2,0,29,30,96.7,0,19,2,1,0
Danny Rose,3,ENG,LB,28,90,0,0,0,0,1,1,1,0,57,0,1,0,0.1,0.1,0.0,0,0,32,44,72.7,2,25,1,3,3
Jan Vertonghen,5,BEL,CB,31,90,0,0,0,0,0,0,0,0,56,1,0,0,0.0,0.0,0.0,0,0,41,50,82.0,3,36,0,0,0
Toby Alderweireld,4,BEL,CB,30,90,0,0,0,0,1,0,0,0,53,2,0,1,0.1,0.1,0.0,0,0,31,43,72.1,0,27,0,0,0
Kieran Trippier,2,ENG,RB,28,90,0,0,0,0,0,0,0,0,68,5,2,0,0.0,0.0,0.1,2,0,44,62,71.0,3,29,1,1,1
Hugo Lloris,1,FRA,GK,32,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,16,33,48.5,0,18,0,0,0
