player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,90,0,0,0,0,2,0,0,0,29,0,0,0,0.1,0.1,0.1,3,0,19,22,86.4,2,5,0,0,0
Rafael Leão,17,POR,LW,23,90,0,1,0,0,3,1,0,0,38,1,0,0,0.3,0.3,0.1,5,1,18,29,62.1,5,23,4,7,5
Brahim Díaz,10,ESP,"RW,AM",23,79,0,0,0,0,1,0,0,0,26,0,2,2,0.0,0.0,0.2,2,1,11,14,78.6,1,14,1,5,4
Ante Rebić,12,CRO,AM,29,11,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,2,0,6,7,85.7,1,2,0,1,0
Ismaël Bennacer,4,ALG,AM,25,66,1,0,0,0,1,1,1,0,24,1,1,0,0.2,0.2,0.1,1,0,12,15,80.0,0,14,1,1,1
Alexis Saelemaekers,56,BEL,RW,23,24,0,0,0,0,1,0,1,0,16,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,1,9,1,1,1
Sandro Tonali,8,ITA,DM,22,90,0,0,0,0,1,0,0,0,54,3,2,1,0.1,0.1,0.4,3,0,34,45,75.6,2,20,4,1,0
Rade Krunić,33,BIH,DM,29,90,0,0,0,0,2,0,0,0,51,2,0,2,0.1,0.1,0.0,0,0,33,40,82.5,0,27,0,2,1
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,0,0,0,0,47,2,1,0,0.0,0.0,0.0,2,0,28,36,77.8,3,15,3,2,0
Fikayo Tomori,23,ENG,CB,25,90,0,0,0,0,0,0,0,0,70,3,2,1,0.0,0.0,0.0,0,0,55,61,90.2,2,32,0,1,0
Simon Kjær,24,DEN,CB,34,90,0,0,0,0,1,0,0,0,92,2,3,3,0.1,0.1,0.0,1,0,65,78,83.3,4,48,2,0,0
Davide Calabria,2,ITA,RB,26,90,0,0,0,0,0,0,1,0,63,4,6,2,0.0,0.0,0.1,3,0,33,46,71.7,3,25,1,2,1
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,39,48,81.3,0,24,0,0,0
