player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Elif Elmas,7,MKD,"FW,LM,RW",23,90,0,0,0,0,1,1,0,0,24,1,0,1,0.0,0.0,0.1,3,0,12,15,80.0,0,12,0,0,0
Khvicha Kvaratskhelia,77,GEO,LW,22,80,0,0,0,0,2,0,0,0,43,3,0,2,0.4,0.4,0.1,8,0,23,29,79.3,4,33,5,9,6
Matteo Politano,21,ITA,RM,29,10,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.2,1,0,5,8,62.5,1,8,1,1,0
Hirving Lozano,11,MEX,RW,27,68,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.1,1,0,21,23,91.3,0,23,0,1,0
Giacomo Raspadori,81,ITA,FW,23,22,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,6,0,1,0
Piotr Zieliński,20,POL,LM,28,80,0,0,0,0,2,1,1,0,49,3,1,0,0.1,0.1,0.1,2,0,32,39,82.1,5,33,1,1,0
Tanguy Ndombele,91,FRA,"CM,LM",26,10,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,5,0,2,2
Stanislav Lobotka,68,SVK,"CM,RM",28,90,0,0,0,0,0,0,0,0,64,3,0,0,0.0,0.0,0.0,4,0,51,55,92.7,5,47,1,3,2
Andre-Frank Zambo Anguissa,99,CMR,RM,27,73,0,0,0,0,3,1,2,1,64,2,1,1,0.1,0.1,0.0,2,0,47,56,83.9,4,51,2,3,3
Mário Rui,6,POR,LB,31,80,0,0,0,0,2,0,0,0,68,1,4,1,0.1,0.1,0.1,3,0,40,61,65.6,7,42,2,1,0
Mathías Olivera,17,URU,LB,25,10,0,0,0,0,1,0,0,0,6,0,0,0,0.2,0.2,0.0,0,0,2,5,40.0,0,3,0,0,0
Kim Min-jae,3,KOR,CB,26,90,0,0,0,0,0,0,1,0,77,0,3,1,0.0,0.0,0.0,1,0,60,69,87.0,9,56,2,0,0
Amir Rrahmani,13,KVX,CB,29,90,0,0,0,0,0,0,1,0,60,2,1,0,0.0,0.0,0.0,2,0,48,55,87.3,3,42,0,0,0
Giovanni Di Lorenzo,22,ITA,RB,29,90,0,0,0,0,5,2,1,0,77,2,1,2,0.4,0.4,0.0,2,0,51,59,86.4,6,46,1,3,2
Alex Meret,1,ITA,GK,26,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,14,0,0,0
