player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Harry Kane,10,ENG,FW,29,90,0,0,0,0,1,0,0,0,42,0,0,0,0.1,0.1,0.0,2,0,14,30,46.7,5,24,2,7,2
Son Heung-min,7,KOR,AM,30,80,0,0,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.1,2,0,18,29,62.1,3,19,1,1,1
Arnaut Danjuma,16,NED,AM,26,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,2,3,0,0,0
Dejan Kulusevski,21,SWE,AM,22,69,0,0,0,0,1,0,0,0,45,3,0,1,0.0,0.0,0.0,0,0,17,26,65.4,0,14,0,6,1
Richarlison,9,BRA,AM,25,21,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,8,9,88.9,0,4,0,1,0
Pape Matar Sarr,29,SEN,CM,20,90,0,0,0,0,3,1,0,0,73,5,1,1,0.1,0.1,0.0,2,0,50,60,83.3,4,38,1,2,1
Oliver Skipp,4,ENG,CM,22,90,0,0,0,0,0,0,0,0,63,2,1,0,0.0,0.0,0.1,4,0,52,56,92.9,8,26,3,0,0
Ivan Perišić,14,CRO,WB,34,90,0,0,0,0,0,0,0,0,57,5,0,0,0.0,0.0,0.0,5,0,30,47,63.8,2,20,1,2,2
Emerson,12,BRA,WB,24,90,0,0,0,0,1,1,0,0,71,3,1,2,0.0,0.0,0.1,2,0,47,62,75.8,7,36,3,1,0
Clément Lenglet,34,FRA,CB,27,80,0,0,0,0,0,0,0,0,64,3,1,1,0.0,0.0,0.0,1,0,45,55,81.8,8,41,5,2,1
Ben Davies,33,WAL,CB,29,10,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,9,33.3,2,7,1,0,0
Eric Dier,15,ENG,CB,29,90,0,0,0,0,3,1,1,0,52,1,1,1,0.1,0.1,0.0,0,0,36,42,85.7,1,27,0,0,0
Cristian Romero,17,ARG,CB,24,90,0,0,0,0,0,0,1,0,53,1,0,1,0.0,0.0,0.0,0,0,38,46,82.6,6,20,1,0,0
Fraser Forster,20,ENG,GK,34,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,13,0,0,0
