player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Victor Osimhen,9,NGA,FW,24,90,1,0,0,0,4,1,0,0,22,0,0,0,0.3,0.3,0.0,0,0,9,13,69.2,2,9,0,1,1
Khvicha Kvaratskhelia,77,GEO,LW,22,90,0,0,0,1,5,1,0,0,86,0,0,1,1.0,0.2,0.6,11,1,53,65,81.5,4,55,15,18,10
Matteo Politano,21,ITA,RW,29,33,0,0,0,0,2,0,0,0,20,1,0,0,0.1,0.1,0.0,2,0,11,18,61.1,1,15,5,2,1
Hirving Lozano,11,MEX,RW,27,57,0,0,0,0,2,0,0,0,39,2,0,1,0.1,0.1,0.0,4,0,24,33,72.7,3,33,7,3,3
Piotr Zieliński,20,POL,LM,28,73,0,0,0,0,2,1,0,0,65,0,0,0,0.1,0.1,0.0,3,0,48,60,80.0,9,50,0,2,0
Giacomo Raspadori,81,ITA,AM,23,17,0,1,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.1,3,1,8,11,72.7,0,5,1,0,0
Stanislav Lobotka,68,SVK,"CM,DM",28,90,0,0,0,0,1,0,0,0,82,2,0,0,0.0,0.0,0.1,4,0,74,78,94.9,8,68,5,0,0
Tanguy Ndombele,91,FRA,RM,26,62,0,0,0,0,2,0,0,0,61,0,1,0,0.1,0.1,0.0,5,0,43,51,84.3,7,44,1,3,3
Elif Elmas,7,MKD,"DM,RM",23,28,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,23,27,85.2,2,23,1,0,0
Mário Rui,6,POR,LB,31,33,0,0,0,0,1,0,0,0,25,1,0,0,0.1,0.1,0.0,1,0,14,23,60.9,1,16,0,0,0
Mathías Olivera,17,URU,LB,25,57,0,0,0,0,2,0,1,0,63,1,1,0,0.4,0.4,0.1,1,0,48,55,87.3,6,47,3,0,0
Juan Jesus,5,BRA,CB,31,90,0,0,0,0,0,0,0,0,84,2,1,1,0.0,0.0,0.0,0,0,73,78,93.6,11,63,0,0,0
Amir Rrahmani,13,KVX,CB,29,73,0,0,0,0,1,0,0,0,65,1,0,1,0.0,0.0,0.0,0,0,57,61,93.4,5,53,1,0,0
Leo Skiri Østigård,55,NOR,CB,23,17,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,1,0,6,9,66.7,2,6,0,0,0
Giovanni Di Lorenzo,22,ITA,RB,29,90,0,0,0,0,0,0,1,0,70,2,1,1,0.0,0.0,0.2,7,0,51,66,77.3,9,56,4,2,1
Alex Meret,1,ITA,GK,26,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,23,23,100.0,0,14,0,0,0
