minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
18,Junior Messias,Milan,0.08,,Off Target,17,Right Foot,,Sandro Tonali,Pass (Live),Olivier Giroud,Pass (Dead)
30,Junior Messias,Milan,0.03,,Off Target,24,Left Foot,,Rafael Leão,Pass (Live),Brahim Díaz,Pass (Live)
51,Brahim Díaz,Milan,0.04,,Blocked,20,Right Foot,,Junior Messias,Pass (Live),Brahim Díaz,Pass (Live)
51,Brahim Díaz,Milan,0.18,0.76,Saved,6,Right Foot,Deflected,Brahim Díaz,Shot,,
51,Theo Hernández,Milan,0.06,,Blocked,22,Left Foot,,Brahim Díaz,Shot,,
51,Rafael Leão,Milan,0.03,,Off Target,16,Right Foot,Volley,Theo Hernández,Shot,,
66,Rafael Leão,Milan,0.07,,Blocked,21,Right Foot,,Brahim Díaz,Pass (Live),Rafael Leão,Pass (Live)
67,Brahim Díaz,Milan,0.09,,Blocked,14,Left Foot,,Rafael Leão,Pass (Live),Theo Hernández,Pass (Live)
67,Olivier Giroud,Milan,0.16,0.09,Saved,9,Left Foot,,Brahim Díaz,Shot,,
71,Rafael Leão,Milan,0.09,,Off Target,13,Right Foot,,Malick Thiaw,Pass (Live),,
84,Sandro Tonali,Milan,0.19,,Blocked,18,Right Foot,,Rafael Leão,Take-On,Ismaël Bennacer,Pass (Live)
87,Ismaël Bennacer,Milan,0.03,0.16,Saved,31,Left Foot,,Pierre Kalulu,Pass (Live),,
90+1,Divock Origi,Milan,0.03,,Blocked,23,Right Foot,,Alexis Saelemaekers,Pass (Live),Ismaël Bennacer,Pass (Live)
90+4,Divock Origi,Milan,0.33,,Woodwork,17,Left Foot,,Theo Hernández,Pass (Live),Sandro Tonali,Pass (Live)
