player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dušan Tadić,10,SRB,"FW,AM",30,90,0,0,0,0,2,0,0,0,61,0,0,2,0.2,0.2,0.3,12,1,34,49,69.4,8,33,5,5,4
David Neres,7,BRA,LW,21,90,0,1,0,0,1,1,0,0,69,4,0,4,0.1,0.1,0.9,5,1,50,52,96.2,9,45,6,4,3
Hakim Ziyech,22,MAR,RW,25,90,1,0,0,0,6,3,1,0,80,2,2,0,1.0,1.0,0.0,5,0,41,58,70.7,3,57,3,9,5
Donny van de Beek,6,NED,"AM,DM",21,90,0,0,0,0,0,0,0,0,41,4,2,0,0.0,0.0,0.7,3,0,27,33,81.8,8,17,1,0,0
Frenkie de Jong,21,NED,DM,21,90,0,0,0,0,0,0,0,0,79,1,2,1,0.0,0.0,0.0,2,0,61,69,88.4,7,52,4,1,1
Lasse Schöne,20,DEN,DM,32,72,0,0,0,0,3,1,0,0,66,3,2,2,0.1,0.1,0.2,6,0,44,53,83.0,2,33,1,0,0
Kasper Dolberg,25,DEN,FW,21,18,0,0,0,0,3,1,0,0,5,0,0,0,0.6,0.6,0.0,0,0,1,2,50.0,0,5,1,0,0
Nicolás Tagliafico,31,ARG,LB,26,90,0,0,0,0,0,0,0,0,60,4,2,2,0.0,0.0,0.0,2,0,41,47,87.2,2,30,0,0,0
Daley Blind,17,NED,CB,28,90,0,0,0,0,1,0,0,0,75,3,1,1,0.0,0.0,0.0,1,0,48,66,72.7,7,48,0,0,0
Matthijs de Ligt,4,NED,CB,19,90,0,0,0,0,2,1,0,0,60,1,0,1,0.1,0.1,0.0,0,0,45,53,84.9,1,29,0,1,0
Noussair Mazraoui,12,MAR,RB,21,90,0,0,0,0,1,0,0,0,54,5,6,1,0.1,0.1,0.0,1,0,33,40,82.5,5,30,1,2,2
André Onana,24,CMR,GK,22,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,25,35,71.4,0,21,0,0,0
