player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,31,72,1,0,0,0,2,2,0,0,41,1,0,0,0.4,0.4,0.0,0,0,23,30,76.7,2,22,1,1,0
Marco Asensio,20,ESP,LW,23,18,1,0,0,0,5,2,0,0,9,1,1,0,0.7,0.7,0.0,2,0,2,4,50.0,1,4,0,0,0
Vinicius Júnior,28,BRA,"LW,FW",18,80,0,1,0,0,1,1,0,0,31,3,0,1,0.0,0.0,0.4,4,2,16,18,88.9,0,22,4,5,1
Mariano,7,DOM,FW,25,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,4,0,0,0
Gareth Bale,11,WAL,RW,29,60,0,0,0,0,3,3,0,0,42,1,2,0,0.2,0.2,0.0,1,0,20,30,66.7,0,24,2,2,1
Lucas Vázquez,17,ESP,RW,27,30,0,0,0,0,1,0,1,0,19,1,0,0,0.1,0.1,0.0,0,0,12,15,80.0,2,12,3,1,1
Toni Kroos,8,GER,LM,29,90,0,0,0,0,0,0,0,0,68,1,1,0,0.0,0.0,0.1,4,0,61,64,95.3,3,37,2,1,1
Casemiro,14,BRA,CM,26,90,0,0,0,0,0,0,0,0,58,3,4,2,0.0,0.0,0.1,2,1,36,43,83.7,3,19,0,1,1
Luka Modrić,10,CRO,RM,33,90,0,0,0,0,0,0,0,0,67,1,2,0,0.0,0.0,0.1,2,0,51,59,86.4,4,46,3,1,0
Sergio Reguilón,23,ESP,LB,22,90,0,0,0,0,1,0,1,0,75,2,2,1,0.0,0.0,0.0,1,0,49,60,81.7,4,38,5,3,1
Sergio Ramos,4,ESP,CB,32,90,0,0,0,0,0,0,1,0,72,3,4,1,0.0,0.0,0.0,1,0,53,61,86.9,2,40,0,0,0
Nacho,6,ESP,CB,29,90,0,0,0,0,0,0,0,0,63,0,4,1,0.0,0.0,0.0,0,0,46,52,88.5,1,32,0,0,0
Dani Carvajal,2,ESP,RB,27,90,0,1,0,0,0,0,0,0,91,3,4,1,0.0,0.0,0.7,3,1,63,77,81.8,6,46,6,3,1
Thibaut Courtois,25,BEL,GK,26,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,26,41,63.4,0,18,0,0,0
