minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
7,Gareth Bale,Real Madrid,0.08,0.06,Saved,19,Left Foot,,Luka Modrić,Pass (Live),Vinicius Júnior,Pass (Live)
14,Vinicius Júnior,Real Madrid,0.04,0.43,Saved,16,Right Foot,,Toni Kroos,Pass (Live),Toni Kroos,Take-On
15,Gareth Bale,Real Madrid,0.06,0.07,Saved,8,Head,,Toni Kroos,Pass (Dead),Vinicius Júnior,Shot
32,Gareth Bale,Real Madrid,0.02,0.10,Saved,32,Left Foot,,Dani Carvajal,Pass (Live),Gareth Bale,Pass (Live)
51,Karim Benzema,Real Madrid,0.09,0.11,Saved,16,Right Foot,,Dani Carvajal,Pass (Live),Luka Modrić,Pass (Live)
60,Karim Benzema,Real Madrid,0.35,0.83,Goal,13,Right Foot,,Vinicius Júnior,Pass (Live),Vinicius Júnior,Take-On
77,Lucas Vázquez,Real Madrid,0.08,,Off Target,21,Left Foot,,Casemiro,Pass (Live),,
79,Marco Asensio,Real Madrid,0.05,,Off Target,22,Left Foot,,Sergio Reguilón,Pass (Live),Toni Kroos,Pass (Live)
81,Marco Asensio,Real Madrid,0.04,,Blocked,24,Left Foot,Deflected,,,,
81,Marco Asensio,Real Madrid,0.04,0.28,Saved,27,Right Foot,,Marco Asensio,Shot,,
82,Marco Asensio,Real Madrid,0.04,,Blocked,24,Left Foot,,Marco Asensio,Interception,,
86,Sergio Reguilón,Real Madrid,0.03,,Off Target,27,Left Foot,,Sergio Ramos,Pass (Live),,
87,Marco Asensio,Real Madrid,0.59,0.76,Goal,5,Left Foot,,Dani Carvajal,Pass (Live),Casemiro,Pass (Live)
