player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Luis Muriel,9,COL,FW,29,55,0,0,0,0,1,0,0,0,32,1,0,1,0.0,0.0,0.0,1,0,11,22,50.0,1,13,0,3,0
Josip Iličić,72,SVN,FW,33,30,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,14,0,4,2
Ruslan Malinovskyi,18,UKR,FW,27,5,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,5,7,71.4,0,5,0,1,1
Duván Zapata,91,COL,FW,29,29,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,3,8,3,3,1
Mario Pašalić,88,CRO,AM,26,61,0,0,0,0,0,0,0,0,27,1,2,0,0.0,0.0,0.0,0,0,13,20,65.0,1,13,0,1,0
Matteo Pessina,32,ITA,"CM,AM",23,90,0,0,0,0,0,0,0,0,52,1,4,2,0.0,0.0,0.0,1,0,32,40,80.0,2,22,0,1,1
Remo Freuler,11,SUI,CM,28,16,0,0,0,0,0,0,0,1,10,0,0,2,0.0,0.0,0.0,0,0,8,8,100.0,0,4,0,0,0
Marten de Roon,15,NED,CM,29,90,0,0,0,0,0,0,0,0,43,2,2,1,0.0,0.0,0.0,0,0,29,38,76.3,1,16,0,1,1
Robin Gosens,8,GER,WB,26,90,0,0,0,0,0,0,1,0,69,1,1,4,0.0,0.0,0.1,1,0,39,56,69.6,0,20,3,1,0
Joakim Mæhle,3,DEN,WB,23,84,0,0,0,0,1,0,0,0,49,4,1,3,0.1,0.1,0.0,0,0,27,37,73.0,5,22,2,3,1
José Luis Palomino,6,ARG,WB,31,6,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
Berat Djimsiti,19,ALB,CB,28,90,0,0,0,0,0,0,0,0,48,1,2,1,0.0,0.0,0.0,1,0,26,38,68.4,0,19,0,0,0
Cristian Romero,17,ARG,CB,22,90,0,0,0,0,0,0,0,0,39,3,5,5,0.0,0.0,0.0,0,0,24,25,96.0,0,13,0,0,0
Rafael Tolói,2,ITA,CB,30,90,0,0,0,0,0,0,0,0,50,3,2,3,0.0,0.0,0.0,0,0,27,35,77.1,4,18,0,1,1
Pierluigi Gollini,95,ITA,GK,25,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,28,36,77.8,0,16,0,0,0
