player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Isco,22,ESP,"FW,LW",28,75,0,0,0,0,2,0,0,0,81,1,3,2,0.2,0.2,0.1,5,0,51,64,79.7,8,60,5,4,4
Hugo Duro,34,ESP,LW,21,15,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,0,1,0
Vinicius Júnior,20,BRA,LW,20,56,0,0,0,0,2,0,0,0,30,1,0,2,0.2,0.2,0.0,2,0,16,19,84.2,1,26,5,5,2
Mariano,24,DOM,FW,27,34,0,0,0,0,1,0,0,0,13,0,0,1,0.1,0.1,0.0,2,0,3,7,42.9,0,6,0,0,0
Marco Asensio,11,ESP,RW,25,75,0,0,0,0,2,2,0,0,54,0,0,1,0.1,0.1,0.1,2,0,39,49,79.6,1,42,2,4,2
Sergio Arribas,30,ESP,RW,19,15,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,9,9,100.0,2,9,0,0,0
Toni Kroos,8,GER,LM,31,90,0,0,0,0,2,0,0,0,151,2,0,0,0.1,0.1,0.6,7,1,134,147,91.2,20,118,2,1,1
Casemiro,14,BRA,CM,29,90,0,0,0,0,3,1,1,0,88,0,3,5,0.5,0.5,0.1,1,0,59,72,81.9,0,47,0,0,0
Luka Modrić,10,CRO,RM,35,90,0,1,0,0,3,0,0,0,113,2,0,1,0.1,0.1,0.2,5,1,93,103,90.3,15,82,5,1,1
Ferland Mendy,23,FRA,LB,25,90,1,0,0,0,1,1,1,0,80,1,1,0,0.0,0.0,0.0,3,0,66,73,90.4,3,60,2,1,0
Nacho,6,ESP,CB,31,90,0,0,0,0,1,0,0,0,95,4,2,3,0.1,0.1,0.0,2,0,76,83,91.6,2,67,6,2,2
Raphaël Varane,5,FRA,CB,27,90,0,0,0,0,0,0,0,0,89,1,0,0,0.0,0.0,0.0,0,0,78,84,92.9,5,60,1,1,1
Lucas Vázquez,17,ESP,RB,29,90,0,0,0,0,1,0,0,0,119,3,2,1,0.0,0.0,0.1,3,0,94,105,89.5,5,77,6,0,0
Thibaut Courtois,1,BEL,GK,28,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,15,0,0,0
