player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Kai Havertz,29,GER,FW,23,76,0,0,0,0,3,1,0,0,46,1,0,2,0.2,0.2,0.2,4,0,31,38,81.6,3,33,5,4,2
Mason Mount,19,ENG,AM,24,14,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0
Conor Gallagher,23,ENG,AM,23,66,0,0,0,0,2,1,0,0,39,1,1,0,0.2,0.2,0.3,2,0,24,30,80.0,6,27,1,0,0
João Félix,11,POR,"FW,AM",23,24,0,0,0,0,3,0,0,0,17,0,0,0,0.1,0.1,0.2,3,0,10,13,76.9,1,10,1,2,1
N'Golo Kanté,7,FRA,"AM,CM",32,90,0,0,0,0,2,0,0,0,49,2,1,1,0.6,0.6,0.1,3,0,33,39,84.6,8,37,6,2,1
Mateo Kovačić,8,CRO,CM,28,90,0,0,0,0,0,0,0,0,91,0,0,0,0.0,0.0,0.2,3,0,82,86,95.3,5,83,1,1,0
Enzo Fernández,5,ARG,CM,22,66,0,0,0,0,3,1,0,0,78,2,1,1,0.1,0.1,0.0,1,0,59,69,85.5,12,61,1,0,0
Raheem Sterling,17,ENG,AM,28,24,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,7,12,58.3,2,16,3,5,2
Marc Cucurella,32,ESP,WB,24,66,0,0,0,0,1,1,1,0,63,0,1,5,0.3,0.3,0.0,3,0,43,54,79.6,4,42,2,2,0
Mykhailo Mudryk,15,UKR,WB,22,24,0,0,0,0,2,1,1,0,9,0,0,0,0.1,0.1,0.0,1,0,4,5,80.0,0,6,0,1,1
Reece James,24,ENG,WB,23,90,0,0,0,0,1,0,1,0,91,0,0,3,0.0,0.0,0.4,8,0,72,81,88.9,10,76,2,7,5
Trevoh Chalobah,14,ENG,CB,23,90,0,0,0,0,1,0,0,0,57,4,1,0,0.2,0.2,0.0,1,0,44,48,91.7,1,37,1,0,0
Thiago Silva,6,BRA,CB,38,90,0,0,0,0,1,1,0,0,54,0,2,0,0.0,0.0,0.0,2,0,38,45,84.4,4,31,0,1,1
Wesley Fofana,33,FRA,CB,22,90,0,0,0,0,0,0,0,0,57,3,0,1,0.0,0.0,0.0,1,0,52,53,98.1,2,46,4,1,1
Kepa Arrizabalaga,1,ESP,GK,28,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,22,0,0,0
