player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,70,0,0,0,0,3,2,0,0,32,0,0,0,0.2,0.2,0.0,0,0,20,25,80.0,3,19,0,0,0
Aurélien Tchouaméni,18,FRA,"CM,RM",23,20,0,0,0,0,0,0,0,0,15,0,2,0,0.0,0.0,0.0,0,0,10,11,90.9,0,10,1,0,0
Vinicius Júnior,20,BRA,LW,22,90,0,1,0,0,1,0,0,0,48,0,1,1,0.2,0.2,0.3,2,1,26,32,81.3,3,40,4,11,6
Rodrygo,21,BRA,"RW,FW",22,80,2,0,0,0,3,2,0,0,49,1,2,1,1.2,1.2,0.2,4,1,27,34,79.4,0,33,2,4,1
Marco Asensio,11,ESP,FW,27,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,2,5,1,0,0
Luka Modrić,10,CRO,"LM,RM",37,90,0,0,0,0,1,1,0,0,59,0,0,0,0.0,0.0,0.2,1,0,48,55,87.3,4,50,2,2,0
Toni Kroos,8,GER,CM,33,75,0,0,0,0,0,0,0,0,64,1,0,1,0.0,0.0,0.0,0,0,58,64,90.6,0,45,0,0,0
Dani Ceballos,19,ESP,LM,26,15,0,0,0,0,1,1,0,0,17,1,0,0,0.1,0.1,0.0,0,0,14,14,100.0,1,14,0,2,1
Federico Valverde,15,URU,"RM,RW",24,90,0,1,0,0,0,0,0,0,64,1,1,2,0.0,0.0,1.0,6,2,49,56,87.5,7,43,4,4,4
Eduardo Camavinga,12,FRA,LB,20,90,0,0,0,0,0,0,0,0,68,5,2,0,0.0,0.0,0.0,0,0,43,51,84.3,2,34,2,3,2
David Alaba,4,AUT,CB,30,45,0,0,0,0,0,0,0,0,27,0,2,2,0.0,0.0,0.0,0,0,18,20,90.0,0,17,0,0,0
Antonio Rüdiger,22,GER,CB,30,45,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.0,0,0,18,20,90.0,0,16,0,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,1,0,53,1,1,3,0.0,0.0,0.0,1,0,33,40,82.5,3,24,0,0,0
Dani Carvajal,2,ESP,RB,31,81,0,0,0,0,0,0,0,0,62,2,2,1,0.0,0.0,0.1,3,0,46,54,85.2,4,31,3,1,0
Nacho,6,ESP,RB,33,9,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,7,7,100.0,1,2,0,0,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,33,78.8,0,28,0,0,0
