player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Eden Hazard,7,BEL,FW,30,88,0,0,0,0,1,1,0,0,44,0,0,0,0.0,0.0,0.0,1,0,32,37,86.5,2,29,1,4,2
Mariano,24,DOM,FW,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Karim Benzema,9,FRA,FW,33,90,0,0,0,0,2,2,0,0,39,3,1,0,0.4,0.4,0.0,0,0,24,28,85.7,0,19,2,3,1
Toni Kroos,8,GER,CM,31,90,0,0,0,0,1,1,1,0,103,0,1,3,0.0,0.0,0.0,3,0,86,98,87.8,5,62,3,0,0
Casemiro,14,BRA,CM,29,75,0,0,0,0,1,0,0,0,76,0,2,0,0.0,0.0,0.0,1,0,61,71,85.9,5,42,0,0,0
Rodrygo,25,BRA,WB,20,15,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,4,0,0,0
Luka Modrić,10,CRO,"CM,AM",35,90,0,0,0,0,1,1,0,0,98,0,2,0,0.0,0.0,0.3,2,0,86,95,90.5,6,76,2,5,3
Ferland Mendy,23,FRA,WB,25,62,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,1,0,44,45,97.8,1,35,0,1,0
Federico Valverde,15,URU,"CM,WB",22,28,0,0,0,0,0,0,1,0,21,0,0,1,0.0,0.0,0.0,2,0,18,20,90.0,2,14,1,0,0
Vinicius Júnior,20,BRA,WB,20,62,0,0,0,0,0,0,0,0,36,3,0,1,0.0,0.0,0.0,0,0,23,28,82.1,1,28,1,3,3
Marco Asensio,11,ESP,WB,25,28,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,15,2,0,0
Nacho,6,ESP,CB,31,90,0,0,0,0,0,0,1,0,100,2,0,1,0.0,0.0,0.0,2,0,79,91,86.8,3,57,3,0,0
Sergio Ramos,4,ESP,CB,35,90,0,0,0,0,0,0,1,0,93,1,0,0,0.0,0.0,0.0,0,0,82,89,92.1,0,61,1,0,0
Éder Militão,3,BRA,CB,23,90,0,0,0,0,0,0,0,0,89,2,2,0,0.0,0.0,0.0,0,0,71,83,85.5,2,58,1,1,1
Thibaut Courtois,1,BEL,GK,28,90,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.0,0,0,48,53,90.6,0,41,0,0,0
