player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Cody Gakpo,18,NED,FW,23,63,0,0,0,0,0,0,0,0,23,4,0,2,0.0,0.0,0.1,1,0,9,14,64.3,2,11,2,3,1
Roberto Firmino,9,BRA,FW,31,27,0,0,0,0,1,1,0,0,22,2,1,1,0.1,0.1,0.0,0,0,9,12,75.0,3,8,0,3,2
Darwin Núñez,27,URU,LW,23,63,1,0,0,0,2,1,0,0,17,0,0,1,1.2,1.2,0.0,0,0,4,9,44.4,0,7,0,1,0
Diogo Jota,20,POR,LW,26,27,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,13,0,2,0
Mohamed Salah,11,EGY,RW,30,90,1,1,0,0,3,1,0,0,47,0,0,0,0.6,0.6,1.2,3,1,29,33,87.9,5,32,4,8,4
Stefan Bajcetic,43,ESP,LM,18,84,0,0,0,0,1,0,0,0,77,4,1,0,0.0,0.0,0.0,1,0,50,65,76.9,5,44,0,2,1
Harvey Elliott,19,ENG,LM,19,6,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
Fabinho,3,BRA,CM,29,90,0,0,0,0,0,0,0,0,95,2,1,0,0.0,0.0,0.0,0,0,84,88,95.5,8,75,3,3,2
Jordan Henderson,14,ENG,RM,32,72,0,0,0,0,0,0,0,0,58,1,1,0,0.0,0.0,0.2,2,1,45,52,86.5,9,32,2,1,1
James Milner,7,ENG,RM,37,18,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,10,13,76.9,3,10,0,1,1
Andrew Robertson,26,SCO,LB,28,90,0,0,0,0,1,0,0,0,79,1,1,1,0.0,0.0,0.0,0,0,56,69,81.2,4,47,3,3,2
Virgil van Dijk,4,NED,CB,31,90,0,0,0,0,0,0,0,0,70,0,0,1,0.0,0.0,0.0,0,0,55,66,83.3,3,31,0,0,0
Joe Gomez,2,ENG,CB,25,72,0,0,0,0,0,0,0,0,46,0,1,0,0.0,0.0,0.0,2,0,36,41,87.8,3,35,1,1,0
Joël Matip,32,CMR,CB,31,18,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,13,13,100.0,2,6,1,0,0
Trent Alexander-Arnold,66,ENG,RB,24,90,0,0,0,0,1,1,0,0,99,3,2,0,0.0,0.0,0.1,4,0,69,85,81.2,7,54,1,5,2
Alisson,1,BRA,GK,30,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,27,29,93.1,0,17,0,0,0
