player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,86,2,1,0,0,2,2,0,0,41,0,0,1,0.7,0.7,0.1,5,3,31,34,91.2,3,19,1,2,1
Marco Asensio,11,ESP,FW,27,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0
Vinicius Júnior,20,BRA,LW,22,90,2,1,0,0,3,3,1,0,58,0,0,1,0.4,0.4,0.6,3,3,30,40,75.0,0,41,4,11,4
Rodrygo,21,BRA,RW,22,80,0,1,0,0,1,0,0,0,31,0,0,1,0.1,0.1,0.2,3,1,21,25,84.0,2,16,1,3,2
Dani Ceballos,19,ESP,LM,26,10,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,14,16,87.5,1,9,1,0,0
Luka Modrić,10,CRO,"LM,RM",37,86,0,1,0,0,0,0,0,0,65,1,1,0,0.0,0.0,0.3,4,1,52,62,83.9,3,36,2,4,3
Toni Kroos,8,GER,RM,33,4,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,0,12,0,0,0
Eduardo Camavinga,12,FRA,CM,20,90,0,0,0,0,0,0,0,0,73,4,2,3,0.0,0.0,0.0,0,0,49,57,86.0,1,37,0,1,0
Federico Valverde,15,URU,"RM,RW",24,90,0,0,0,0,1,0,0,0,61,4,2,4,0.1,0.1,0.0,0,0,36,42,85.7,2,25,0,1,0
David Alaba,4,AUT,LB,30,26,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,13,18,72.2,0,9,1,1,1
Nacho,6,ESP,LB,33,64,0,0,0,0,0,0,0,0,54,2,4,0,0.0,0.0,0.0,0,0,34,38,89.5,2,25,1,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,1,0,0,0,54,3,0,1,0.0,0.0,0.0,0,0,44,46,95.7,0,27,0,0,0
Éder Militão,3,BRA,CB,25,90,1,0,0,0,1,1,0,0,69,2,3,2,0.3,0.3,0.0,0,0,53,59,89.8,2,48,2,0,0
Dani Carvajal,2,ESP,RB,31,90,0,0,0,0,0,0,0,0,70,2,0,0,0.0,0.0,0.0,0,0,50,60,83.3,6,31,0,1,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,23,36,63.9,0,22,0,0,0
