player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,0,0,0,0,0,0,0,0,56,0,0,1,0.0,0.0,0.1,1,0,33,45,73.3,2,37,3,3,1
Vinicius Júnior,20,BRA,LW,21,89,1,0,0,0,1,1,0,0,43,1,0,0,0.7,0.7,0.0,0,0,27,29,93.1,1,31,3,5,1
Rodrygo,21,BRA,LW,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Federico Valverde,15,URU,RW,23,85,0,1,0,0,2,0,0,0,43,0,1,0,0.2,0.2,0.7,1,1,23,35,65.7,3,24,3,5,3
Eduardo Camavinga,25,FRA,RW,19,5,0,0,0,0,1,0,0,0,7,1,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,4,0,0,0
Toni Kroos,8,GER,LM,32,90,0,0,0,0,0,0,0,0,89,3,1,0,0.0,0.0,0.0,0,0,77,83,92.8,4,59,1,1,1
Casemiro,14,BRA,CM,30,90,0,0,0,0,0,0,0,0,65,4,3,4,0.0,0.0,0.1,1,0,37,51,72.5,2,36,1,1,1
Luka Modrić,10,CRO,RM,36,89,0,0,0,0,0,0,0,0,61,1,0,0,0.0,0.0,0.0,0,0,49,57,86.0,3,37,1,0,0
Dani Ceballos,19,ESP,RM,25,1,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,1,0,0,0
Ferland Mendy,23,FRA,LB,26,90,0,0,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.0,1,0,40,41,97.6,3,30,1,1,1
David Alaba,4,AUT,CB,29,90,0,0,0,0,0,0,0,0,50,4,3,3,0.0,0.0,0.0,1,0,35,39,89.7,1,32,0,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,0,0,0,0,74,2,3,2,0.0,0.0,0.0,0,0,51,61,83.6,0,43,0,0,0
Dani Carvajal,2,ESP,RB,30,90,0,0,0,0,0,0,0,0,58,4,2,2,0.0,0.0,0.0,1,0,40,47,85.1,1,32,4,2,2
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,32,52,61.5,0,32,0,0,0
