player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lionel Messi,30,ARG,FW,34,90,0,0,0,1,7,1,0,0,92,0,0,0,1.2,0.4,0.5,6,0,64,80,80.0,9,60,13,7,5
Kylian Mbappé,7,FRA,"LW,RW",23,90,1,0,0,0,7,4,0,0,62,0,1,1,0.9,0.9,0.0,9,2,40,49,81.6,7,41,12,6,4
Ángel Di María,11,ARG,RW,34,71,0,0,0,0,3,0,0,0,59,2,0,2,0.2,0.2,0.1,1,0,41,46,89.1,2,26,1,3,0
Neymar,10,BRA,LW,30,19,0,1,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.2,1,0,8,12,66.7,1,11,1,2,0
Marco Verratti,6,ITA,LM,29,90,0,0,0,0,0,0,1,0,112,3,1,0,0.0,0.0,0.3,11,0,96,104,92.3,8,70,4,3,3
Leandro Paredes,8,ARG,CM,27,90,0,0,0,0,0,0,1,0,120,1,3,2,0.0,0.0,0.0,2,0,107,114,93.9,7,60,0,0,0
Danilo Pereira,15,POR,RM,30,86,0,0,0,0,1,0,1,0,58,0,0,0,0.2,0.2,0.0,0,0,52,56,92.9,1,36,0,1,1
Idrissa Gana Gueye,27,SEN,RM,32,4,0,0,0,0,1,1,0,0,7,0,1,0,0.1,0.1,0.0,1,0,3,5,60.0,0,5,1,1,1
Nuno Mendes,25,POR,LB,19,90,0,0,0,0,1,1,0,0,70,5,0,3,0.0,0.0,0.0,4,0,47,59,79.7,5,38,2,2,2
Presnel Kimpembe,3,FRA,CB,26,90,0,0,0,0,0,0,1,0,67,0,0,0,0.0,0.0,0.0,0,0,63,65,96.9,3,45,1,0,0
Marquinhos,5,BRA,CB,27,90,0,0,0,0,0,0,0,0,59,0,0,1,0.0,0.0,0.0,0,0,54,56,96.4,3,39,1,0,0
Achraf Hakimi,2,MAR,RB,23,90,0,0,0,0,0,0,0,0,57,4,0,2,0.0,0.0,0.2,4,0,43,48,89.6,2,27,4,4,2
Gianluigi Donnarumma,50,ITA,GK,22,90,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,13,14,92.9,0,8,0,0,0
