player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dušan Tadić,10,SRB,FW,30,90,1,2,0,0,2,2,0,0,41,0,0,0,0.1,0.1,1.9,8,4,23,33,69.7,6,27,6,3,3
David Neres,7,BRA,LW,22,73,1,0,0,0,2,1,0,0,30,0,0,3,1.1,1.1,0.0,3,0,21,24,87.5,0,21,2,2,2
Kasper Dolberg,25,DEN,LW,21,17,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,2,5,40.0,0,5,0,3,2
Hakim Ziyech,22,MAR,RW,25,90,1,0,0,0,7,2,0,0,56,3,3,1,1.1,1.1,0.4,5,1,25,36,69.4,5,29,1,6,2
Donny van de Beek,6,NED,AM,21,90,0,1,0,0,1,1,0,0,36,1,0,1,0.1,0.1,0.1,3,1,19,31,61.3,5,13,2,2,1
Frenkie de Jong,21,NED,DM,21,90,0,0,0,0,0,0,0,0,70,3,0,4,0.0,0.0,0.0,0,0,49,55,89.1,4,36,2,3,2
Lasse Schöne,20,DEN,DM,32,72,1,0,0,0,1,1,0,0,35,0,0,0,0.0,0.0,0.0,0,0,22,28,78.6,2,17,0,1,1
Dani de Wit,30,NED,DM,21,18,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,1,0,0,0
Nicolás Tagliafico,31,ARG,LB,26,90,0,0,0,0,0,0,0,0,53,3,3,3,0.0,0.0,0.0,2,2,29,36,80.6,4,19,2,0,0
Daley Blind,17,NED,CB,28,90,0,0,0,0,0,0,0,0,67,3,0,2,0.0,0.0,0.1,2,0,42,52,80.8,8,21,1,0,0
Matthijs de Ligt,4,NED,CB,19,90,0,0,0,0,2,1,0,0,57,0,0,2,0.1,0.1,0.0,0,0,34,45,75.6,0,18,0,0,0
Noussair Mazraoui,12,MAR,RB,21,79,0,0,0,0,1,0,1,0,49,4,3,2,0.1,0.1,0.0,0,0,25,34,73.5,4,15,2,0,0
Joël Veltman,3,NED,RB,27,11,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,0,16,16,100.0,1,5,0,1,0
André Onana,24,CMR,GK,22,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,18,32,56.3,0,12,0,0,0
