player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Luis Muriel,9,COL,"FW,AM",29,83,1,0,0,0,3,1,0,0,44,0,0,1,0.1,0.1,0.5,3,0,21,33,63.6,3,30,3,2,0
Aleksei Miranchuk,59,RUS,AM,25,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,6,0,1,1
Mario Pašalić,88,CRO,AM,26,45,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,1,0,18,22,81.8,2,22,1,1,1
Duván Zapata,91,COL,FW,29,45,0,0,0,0,2,2,0,0,22,0,1,0,0.5,0.5,0.0,1,0,8,16,50.0,0,12,4,2,1
Ruslan Malinovskyi,18,UKR,"AM,CM",27,90,0,0,0,0,2,0,0,0,62,0,1,2,0.1,0.1,0.5,3,0,36,48,75.0,8,36,4,6,4
Marten de Roon,15,NED,"CM,CB",29,90,0,0,0,0,0,0,0,0,77,0,2,2,0.0,0.0,0.0,2,0,55,67,82.1,7,41,3,2,0
Matteo Pessina,32,ITA,CM,23,83,0,0,0,0,1,0,0,0,49,1,0,2,0.1,0.1,0.0,2,0,35,42,83.3,3,29,2,1,1
Mattia Caldara,13,ITA,CM,26,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,2,0,0,0
Robin Gosens,8,GER,WB,26,56,0,0,0,0,1,1,0,0,51,1,1,0,0.4,0.4,0.0,0,0,36,46,78.3,3,21,0,0,0
Josip Iličić,72,SVN,"WB,AM",33,34,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.1,2,1,22,26,84.6,4,19,0,0,0
Joakim Mæhle,3,DEN,WB,23,90,0,0,0,0,1,1,0,0,46,2,2,1,0.0,0.0,0.0,1,0,30,34,88.2,4,22,1,2,1
Berat Djimsiti,19,ALB,"CB,WB",28,90,0,0,0,0,2,0,0,0,80,0,2,1,0.1,0.1,0.1,2,0,58,69,84.1,3,36,2,1,0
Cristian Romero,17,ARG,CB,22,90,0,0,0,0,1,0,0,0,55,3,1,1,0.1,0.1,0.0,3,1,42,47,89.4,5,31,0,0,0
Rafael Tolói,2,ITA,CB,30,60,0,0,0,0,0,0,1,0,29,5,0,0,0.0,0.0,0.0,2,0,18,22,81.8,2,13,0,2,2
José Luis Palomino,6,ARG,CB,31,30,0,0,0,0,0,0,0,0,23,1,2,0,0.0,0.0,0.0,0,0,17,20,85.0,2,6,0,0,0
Marco Sportiello,57,ITA,GK,28,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,14,20,70.0,0,9,0,0,0
