minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
19,Toni Kroos,Real Madrid,0.03,,Blocked,31,Right Foot,Volley,Federico Valverde,Pass (Live),Toni Kroos,Pass (Live)
20,Karim Benzema,Real Madrid,0.05,,Blocked,15,Left Foot,,Ferland Mendy,Pass (Live),Karim Benzema,Pass (Live)
27,Vinicius Júnior,Real Madrid,0.09,,Blocked,14,Right Foot,,Karim Benzema,Pass (Live),Vinicius Júnior,Pass (Live)
27,Luka Modrić,Real Madrid,0.03,,Off Target,31,Right Foot,,Vinicius Júnior,Interception,,
34,Karim Benzema,Real Madrid,0.30,0.65,Goal,15,Right Foot,,Luka Modrić,Pass (Live),Luka Modrić,Interception
52,Vinicius Júnior,Real Madrid,0.57,,Off Target,10,Right Foot,,Vinicius Júnior,Take-On,Ferland Mendy,Pass (Live)
54,Ferland Mendy,Real Madrid,0.04,0.03,Saved,24,Right Foot,,Ferland Mendy,Pass (Live),Toni Kroos,Pass (Live)
60,Sergio Ramos (pen),Real Madrid,0.79,0.99,Goal,13,Right Foot,,Vinicius Júnior,Fouled,,
68,Karim Benzema,Real Madrid,0.36,0.64,Saved,8,Head,,Lucas Vázquez,Pass (Live),Karim Benzema,Pass (Live)
68,Karim Benzema,Real Madrid,0.51,,Woodwork,4,Head,,Karim Benzema,Shot,,
84,Marco Asensio,Real Madrid,0.10,0.35,Goal,10,Left Foot,,Lucas Vázquez,Pass (Live),Rodrygo,Pass (Live)
90+2,Rodrygo,Real Madrid,0.06,0.07,Saved,13,Right Foot,,Karim Benzema,Pass (Live),Marco Asensio,Pass (Live)
