player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Vinicius Júnior,20,BRA,FW,20,65,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.1,2,0,13,17,76.5,0,18,2,1,1
Eden Hazard,7,BEL,FW,30,25,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,9,2,1,0
Karim Benzema,9,FRA,FW,33,89,1,0,0,0,4,1,0,0,46,0,0,0,0.5,0.5,0.0,3,0,32,40,80.0,3,27,2,2,1
Rodrygo,25,BRA,FW,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
Toni Kroos,8,GER,CM,31,90,0,0,0,0,2,0,1,0,110,4,2,2,0.1,0.1,0.1,6,0,89,98,90.8,3,63,1,0,0
Casemiro,14,BRA,CM,29,90,0,0,0,0,0,0,0,0,60,3,2,2,0.0,0.0,0.1,3,1,39,49,79.6,0,28,0,0,0
Luka Modrić,10,CRO,CM,35,90,0,0,0,0,0,0,0,0,68,0,0,1,0.0,0.0,0.0,1,0,54,62,87.1,4,53,1,1,0
Marcelo,12,BRA,WB,32,76,0,0,0,0,1,0,1,0,50,2,0,0,0.0,0.0,0.0,0,0,31,39,79.5,5,21,1,1,0
Marco Asensio,11,ESP,WB,25,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,7,0,0,0
Dani Carvajal,2,ESP,WB,29,76,0,0,0,0,0,0,0,0,56,2,1,2,0.0,0.0,0.0,1,0,41,50,82.0,1,18,0,0,0
Álvaro Odriozola,19,ESP,WB,25,14,0,0,0,0,0,0,1,0,9,2,1,1,0.0,0.0,0.0,0,0,5,6,83.3,0,2,0,0,0
Nacho,6,ESP,CB,31,90,0,0,0,0,1,0,0,0,80,0,1,0,0.1,0.1,0.0,1,0,61,76,80.3,7,41,1,0,0
Raphaël Varane,5,FRA,CB,28,90,0,0,0,0,1,0,1,0,79,1,1,2,0.0,0.0,0.0,0,0,61,65,93.8,1,51,0,1,1
Éder Militão,3,BRA,CB,23,90,0,1,0,0,0,0,0,0,85,7,3,1,0.0,0.0,0.4,1,1,63,69,91.3,1,43,0,2,2
Thibaut Courtois,1,BEL,GK,28,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,37,40,92.5,0,27,0,0,0
