player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,81,1,0,0,0,6,2,0,0,47,0,0,0,0.9,0.9,0.3,2,0,31,35,88.6,3,36,1,5,2
Rodrygo,21,BRA,FW,22,9,0,0,0,0,1,0,0,0,2,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,1,0,0,0
Vinicius Júnior,20,BRA,LW,22,83,0,1,0,0,2,2,0,0,51,0,0,0,0.4,0.4,0.8,7,1,32,40,80.0,2,44,9,12,5
Marco Asensio,11,ESP,LW,27,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
Federico Valverde,15,URU,RW,24,90,0,0,0,0,4,1,0,0,57,1,1,2,0.6,0.6,0.1,4,0,39,45,86.7,2,34,2,1,1
Toni Kroos,8,GER,LM,33,83,0,0,0,0,1,1,0,0,80,2,1,1,0.0,0.0,0.0,2,0,63,75,84.0,4,49,2,2,2
Aurélien Tchouaméni,18,FRA,CM,23,7,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,3,0,0,0
Eduardo Camavinga,12,FRA,"CM,LM",20,90,0,0,0,0,1,1,0,0,70,1,1,0,0.0,0.0,0.0,2,1,53,62,85.5,5,38,1,1,1
Luka Modrić,10,CRO,RM,37,81,0,0,0,0,1,0,0,0,63,0,1,0,0.0,0.0,0.2,2,0,52,56,92.9,4,38,1,3,1
Dani Ceballos,19,ESP,RM,26,9,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.0,1,0,5,6,83.3,2,4,1,2,1
Nacho,6,ESP,LB,33,90,0,0,0,0,0,0,0,0,82,4,3,0,0.0,0.0,0.1,4,0,63,72,87.5,5,36,2,1,1
Antonio Rüdiger,22,GER,CB,30,90,0,0,0,0,0,0,0,0,48,1,0,1,0.0,0.0,0.4,1,0,37,40,92.5,2,21,1,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,0,0,53,0,1,0,0.0,0.0,0.0,0,0,37,47,78.7,1,26,0,1,0
Dani Carvajal,2,ESP,RB,31,85,0,0,0,0,1,0,0,0,63,2,0,1,0.0,0.0,0.0,0,0,44,54,81.5,1,27,2,0,0
Lucas Vázquez,17,ESP,RB,31,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.2,1,0,4,4,100.0,0,2,0,0,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.0,0,0,28,42,66.7,0,32,0,0,0
