player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Neymar,10,BRA,"FW,WB",30,90,0,1,0,0,2,1,0,0,79,1,0,0,0.1,0.1,0.6,8,1,57,65,87.7,5,46,4,7,3
Kylian Mbappé,7,FRA,"LW,FW",23,90,1,0,0,0,4,3,0,0,49,0,0,0,0.8,0.8,0.1,3,0,34,38,89.5,5,29,7,2,2
Lionel Messi,30,ARG,"RW,FW",34,90,0,0,0,0,3,0,0,0,89,3,0,2,0.2,0.2,0.1,3,0,69,74,93.2,6,47,5,8,4
Marco Verratti,6,ITA,"LM,CM",29,90,0,0,0,0,0,0,0,0,116,3,0,2,0.0,0.0,0.0,4,0,94,103,91.3,6,67,0,2,1
Leandro Paredes,8,ARG,CM,27,70,0,0,0,0,1,0,1,0,67,1,0,1,0.0,0.0,0.0,0,0,58,62,93.5,3,26,2,1,0
Idrissa Gana Gueye,27,SEN,"LM,CM",32,20,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,1,0,5,6,83.3,0,2,0,0,0
Danilo Pereira,15,POR,RM,30,80,0,0,0,0,0,0,0,0,44,1,0,0,0.0,0.0,0.0,0,0,35,39,89.7,2,25,1,1,1
Ángel Di María,11,ARG,"RM,WB",34,10,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0
Nuno Mendes,25,POR,"LB,CB",19,90,0,0,0,0,0,0,0,0,70,1,1,3,0.0,0.0,0.0,1,1,47,54,87.0,3,31,1,5,4
Presnel Kimpembe,3,FRA,CB,26,90,0,0,0,0,0,0,1,0,63,1,0,2,0.0,0.0,0.0,0,0,48,54,88.9,0,31,0,0,0
Marquinhos,5,BRA,CB,27,90,0,0,0,0,0,0,0,0,47,0,1,3,0.0,0.0,0.0,0,0,30,35,85.7,1,21,0,0,0
Achraf Hakimi,2,MAR,RB,23,87,0,0,0,0,0,0,1,0,73,6,2,1,0.0,0.0,0.0,0,0,48,54,88.9,0,25,2,3,1
Julian Draxler,23,GER,CM,28,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
Gianluigi Donnarumma,50,ITA,GK,23,90,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,0,0,26,33,78.8,0,16,0,0,0
