player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,3,0,0,0,7,5,0,0,51,1,0,0,1.0,1.0,0.0,1,0,33,41,80.5,5,36,2,0,0
Vinicius Júnior,20,BRA,LW,21,90,0,1,0,0,3,1,1,0,61,1,1,0,0.4,0.4,0.4,8,2,37,42,88.1,8,48,7,14,7
Marco Asensio,11,ESP,RW,26,56,0,0,0,0,2,0,0,0,29,1,0,0,0.1,0.1,0.0,0,0,15,21,71.4,1,20,0,0,0
Rodrygo,21,BRA,RW,21,34,0,0,0,0,3,0,0,0,25,1,1,1,0.3,0.3,0.1,4,0,13,17,76.5,4,13,1,0,0
Luka Modrić,10,CRO,LM,36,90,0,1,0,0,2,1,0,0,79,4,0,0,0.1,0.1,0.3,3,1,59,71,83.1,10,43,2,3,3
Toni Kroos,8,GER,CM,32,56,0,0,0,0,0,0,0,0,57,0,1,0,0.0,0.0,0.1,5,0,51,55,92.7,8,39,0,0,0
Eduardo Camavinga,25,FRA,CM,19,34,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,2,0,13,14,92.9,0,13,0,0,0
Federico Valverde,15,URU,RM,23,90,0,0,0,0,2,0,0,0,62,4,1,2,0.1,0.1,0.1,2,0,41,47,87.2,6,31,3,3,2
Nacho,6,ESP,LB,32,90,0,0,0,0,0,0,1,0,55,2,3,0,0.0,0.0,0.0,0,0,45,48,93.8,6,27,1,0,0
David Alaba,4,AUT,CB,29,90,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.0,2,0,31,38,81.6,3,30,2,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,0,0,0,0,44,3,3,1,0.0,0.0,0.0,0,0,27,35,77.1,1,20,0,0,0
Dani Carvajal,2,ESP,RB,30,65,0,0,0,0,2,0,1,0,54,1,2,3,0.1,0.1,0.0,3,0,36,45,80.0,3,23,1,2,1
Lucas Vázquez,17,ESP,RB,30,25,0,0,0,0,0,0,1,0,11,2,0,0,0.0,0.0,0.0,2,0,6,8,75.0,1,8,1,1,1
Thibaut Courtois,1,BEL,GK,29,90,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,0,9,0,0,0
